agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Administrative Conference of the United States,administrative-conference-of-the-united-states,17 CFR,Administrative Conference of the United States,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T09:18:19.138145
Administrative Office of United States Courts,administrative-office-of-united-states-courts,12 CFR,Administrative Office of United States Courts,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T09:18:19.138150
