agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Administrative Conference of the United States,administrative-conference-of-the-united-states,17 CFR,Administrative Conference of the United States,True,64,True,,2025-08-07T16:08:48.433582
Administrative Office of United States Courts,administrative-office-of-united-states-courts,12 CFR,Administrative Office of United States Courts,True,19,True,,2025-08-07T16:08:48.433611
Advocacy and Outreach Office,advocacy-and-outreach-office,29 CFR,Advocacy and Outreach Office,True,64,True,,2025-08-07T16:08:48.433617
Agency for Healthcare Research and Quality,agency-for-healthcare-research-and-quality,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T16:08:48.433620
Agency for Toxic Substances and Disease Registry,agency-for-toxic-substances-and-disease-registry,40 CFR,Agency for Toxic Substances and Disease Registry,True,64,True,,2025-08-07T16:08:48.433624
Aging Administration,aging-administration,21 CFR,Aging Administration,True,64,True,,2025-08-07T16:08:48.433629
Agricultural Marketing Service,agricultural-marketing-service,49 CFR,Agricultural Marketing Service,True,64,True,,2025-08-07T16:08:48.433632
Agricultural Research Service,agricultural-research-service,40 CFR,Agricultural Research Service,True,64,True,,2025-08-07T16:08:48.433635
Agriculture Department,agriculture-department,40 CFR,Agriculture Department,True,64,True,,2025-08-07T16:08:48.433638
Air Quality National Commission,air-quality-national-commission,40 CFR,Air Quality National Commission,False,7,True,,2025-08-07T16:08:48.433641
