agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Administrative Conference of the United States,administrative-conference-of-the-united-states,17 CFR,Administrative Conference of the United States,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688738
Administrative Office of United States Courts,administrative-office-of-united-states-courts,12 CFR,Administrative Office of United States Courts,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688755
Advocacy and Outreach Office,advocacy-and-outreach-office,29 CFR,Advocacy and Outreach Office,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688758
Agency for Healthcare Research and Quality,agency-for-healthcare-research-and-quality,21 CFR,Health and Human Services Department,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688760
Agency for Toxic Substances and Disease Registry,agency-for-toxic-substances-and-disease-registry,40 CFR,Agency for Toxic Substances and Disease Registry,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688762
Aging Administration,aging-administration,21 CFR,Aging Administration,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688764
Agricultural Marketing Service,agricultural-marketing-service,49 CFR,Agricultural Marketing Service,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688765
Agricultural Research Service,agricultural-research-service,40 CFR,Agricultural Research Service,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688767
Agriculture Department,agriculture-department,40 CFR,Agriculture Department,True,0,False,Unexpected error: Received HTML response - API may be rate limiting or blocking requests,2025-08-07T10:08:10.688768
