agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Administrative Conference of the United States,administrative-conference-of-the-united-states,17 CFR,Administrative Conference of the United States,True,156,True,,2025-08-07T16:29:00.502852
Administrative Office of United States Courts,administrative-office-of-united-states-courts,12 CFR,Administrative Office of United States Courts,True,5,True,,2025-08-07T16:29:00.502902
Advocacy and Outreach Office,advocacy-and-outreach-office,29 CFR,Advocacy and Outreach Office,True,32,True,,2025-08-07T16:29:00.502907
Agency for Healthcare Research and Quality,agency-for-healthcare-research-and-quality,21 CFR,Health and Human Services Department,True,1522,True,,2025-08-07T16:29:00.502910
Agency for Toxic Substances and Disease Registry,agency-for-toxic-substances-and-disease-registry,40 CFR,Agency for Toxic Substances and Disease Registry,True,554,True,,2025-08-07T16:29:00.502914
Aging Administration,aging-administration,21 CFR,Aging Administration,True,266,True,,2025-08-07T16:29:00.502916
Agricultural Marketing Service,agricultural-marketing-service,49 CFR,Agricultural Marketing Service,True,5210,True,,2025-08-07T16:29:00.502918
Agricultural Research Service,agricultural-research-service,40 CFR,Agricultural Research Service,True,523,True,,2025-08-07T16:29:00.502921
Agriculture Department,agriculture-department,40 CFR,Agriculture Department,True,36619,True,,2025-08-07T16:29:00.502925
Air Quality National Commission,air-quality-national-commission,40 CFR,Air Quality National Commission,False,1,True,,2025-08-07T16:29:00.502927
